,Date,Japan_Gold(trend),Japan_S&P500(trend),DE_Ethereum(trend),DE_S&P500(trend),IN_Bitcoin(trend),IN_Ethereum(trend),IN_S&P500(trend),US_Ethereum(trend),US_S&P500(trend)
162,2016-04-13 00:00:00,58,0,0,0,1,0,0,0,2
163,2016-04-14 00:00:00,62,0,0,0,1,0,0,0,2
164,2016-04-15 00:00:00,53,0,1,1,1,0,0,0,2
165,2016-04-16 00:00:00,48,0,0,0,1,0,0,0,1
166,2016-04-17 00:00:00,68,5,1,0,1,0,0,0,1
167,2016-04-18 00:00:00,65,4,0,1,1,0,0,0,2
168,2016-04-19 00:00:00,57,0,0,0,1,0,0,0,3
169,2016-04-20 00:00:00,59,0,1,0,1,0,0,0,2
170,2016-04-21 00:00:00,68,2,0,0,1,0,0,0,2
171,2016-04-22 00:00:00,72,2,1,1,1,0,0,0,2
172,2016-04-23 00:00:00,66,0,1,0,1,0,0,0,1
173,2016-04-24 00:00:00,69,0,0,0,1,0,0,0,1
174,2016-04-25 00:00:00,70,3,1,1,1,0,0,0,2
175,2016-04-26 00:00:00,59,0,0,0,1,0,0,0,2
176,2016-04-27 00:00:00,71,0,0,0,1,0,0,0,2
177,2016-04-28 00:00:00,100,0,0,1,1,0,0,0,2
178,2016-04-29 00:00:00,85,0,0,0,1,0,0,0,2
179,2016-04-30 00:00:00,67,0,1,1,1,0,0,0,1
180,2016-05-01 00:00:00,70,0,0,1,1,0,0,0,1
181,2016-05-02 00:00:00,80,0,1,0,3,0,0,0,2
182,2016-05-03 00:00:00,71,0,0,1,2,0,0,0,2
183,2016-05-04 00:00:00,73,2,1,0,2,0,0,0,2
184,2016-05-05 00:00:00,81,4,1,1,2,0,0,0,2
185,2016-05-06 00:00:00,66,2,1,0,1,0,0,0,2
186,2016-05-07 00:00:00,70,0,1,0,2,0,0,0,1
187,2016-05-08 00:00:00,68,0,0,0,1,0,0,0,1
188,2016-05-09 00:00:00,73,0,0,0,1,0,0,0,2
189,2016-05-10 00:00:00,71,0,0,0,1,0,0,0,2
190,2016-05-11 00:00:00,71,3,1,1,1,0,0,0,2
191,2016-05-12 00:00:00,65,1,1,0,1,0,0,0,2
192,2016-05-13 00:00:00,68,4,1,0,1,0,0,0,2
193,2016-05-14 00:00:00,57,3,0,0,1,0,0,0,1
194,2016-05-15 00:00:00,65,0,1,0,1,0,0,0,0
195,2016-05-16 00:00:00,72,0,1,0,1,0,0,1,2
196,2016-05-17 00:00:00,58,0,1,1,1,0,0,0,2
197,2016-05-18 00:00:00,66,0,1,0,1,0,0,1,2
198,2016-05-19 00:00:00,67,0,1,1,1,0,0,1,2
199,2016-05-20 00:00:00,66,0,1,0,1,0,0,1,2
200,2016-05-21 00:00:00,63,0,1,0,1,0,0,1,1
201,2016-05-22 00:00:00,61,2,2,0,1,0,0,1,0
202,2016-05-23 00:00:00,73,3,1,0,1,0,0,1,2
203,2016-05-24 00:00:00,62,0,1,0,1,0,0,1,2
204,2016-05-25 00:00:00,71,0,2,1,1,0,0,1,2
205,2016-05-26 00:00:00,64,0,1,0,1,0,0,1,2
206,2016-05-27 00:00:00,69,0,2,0,1,0,0,1,2
207,2016-05-28 00:00:00,60,0,1,1,1,0,0,1,1
208,2016-05-29 00:00:00,64,0,1,0,2,0,0,0,0
209,2016-05-30 00:00:00,68,0,1,0,1,0,0,0,1
210,2016-05-31 00:00:00,53,0,1,0,2,0,0,1,2
211,2016-06-01 00:00:00,70,0,1,1,2,0,0,1,2
212,2016-06-02 00:00:00,53,0,1,0,1,0,0,0,2
213,2016-06-03 00:00:00,55,0,1,0,2,0,0,0,2
214,2016-06-04 00:00:00,59,0,1,0,2,0,0,0,1
215,2016-06-05 00:00:00,64,3,1,0,2,0,0,0,0
216,2016-06-06 00:00:00,65,0,1,0,2,0,0,0,2
217,2016-06-07 00:00:00,73,0,1,0,2,0,0,0,2
218,2016-06-08 00:00:00,68,0,1,0,2,0,0,1,2
219,2016-06-09 00:00:00,67,0,0,0,1,0,0,0,2
220,2016-06-10 00:00:00,65,0,1,0,1,0,0,0,2
221,2016-06-11 00:00:00,58,0,1,0,1,0,0,0,1
222,2016-06-12 00:00:00,59,0,1,0,2,0,0,1,1
223,2016-06-13 00:00:00,55,2,1,0,2,0,0,1,2
224,2016-06-14 00:00:00,66,0,1,1,2,0,0,1,2
225,2016-06-15 00:00:00,64,2,2,0,2,0,0,1,2
226,2016-06-16 00:00:00,69,4,1,0,2,0,0,1,2
227,2016-06-17 00:00:00,63,0,4,1,3,0,0,2,2
228,2016-06-18 00:00:00,55,0,4,0,2,0,0,2,1
229,2016-06-19 00:00:00,50,0,1,1,2,0,0,1,0
230,2016-06-20 00:00:00,66,0,2,0,3,0,0,1,2
231,2016-06-21 00:00:00,57,2,1,0,3,0,0,1,2
232,2016-06-22 00:00:00,55,3,2,0,2,0,0,1,2
233,2016-06-23 00:00:00,53,1,1,0,2,0,0,1,2
234,2016-06-24 00:00:00,65,0,1,1,3,0,0,1,9
235,2016-06-25 00:00:00,54,0,1,0,3,0,0,1,2
236,2016-06-26 00:00:00,57,1,1,0,2,0,0,0,1
237,2016-06-27 00:00:00,67,0,1,0,2,0,0,1,4
238,2016-06-28 00:00:00,69,1,1,1,2,0,0,1,4
239,2016-06-29 00:00:00,60,2,2,0,2,0,0,1,3
240,2016-06-30 00:00:00,35,4,1,0,2,0,0,0,2
241,2016-07-01 00:00:00,35,0,0,0,2,0,0,0,2
242,2016-07-02 00:00:00,29,0,0,0,1,0,0,0,1
243,2016-07-03 00:00:00,33,1,0,0,2,0,0,0,0
244,2016-07-04 00:00:00,43,0,0,0,2,0,0,0,0
245,2016-07-05 00:00:00,36,0,1,0,2,0,0,0,2
246,2016-07-06 00:00:00,40,2,0,0,2,0,0,0,2
247,2016-07-07 00:00:00,33,0,0,0,2,0,0,0,1
248,2016-07-08 00:00:00,38,0,1,0,2,0,0,0,2
249,2016-07-09 00:00:00,35,0,1,0,2,0,0,0,1
250,2016-07-10 00:00:00,41,0,0,0,2,0,0,0,0
251,2016-07-11 00:00:00,25,0,0,0,2,0,0,0,2
252,2016-07-12 00:00:00,43,0,1,0,2,0,0,0,2
253,2016-07-13 00:00:00,38,0,0,0,2,0,0,0,2
254,2016-07-14 00:00:00,43,0,0,0,2,0,0,0,2
255,2016-07-15 00:00:00,43,0,0,0,2,0,0,0,2
256,2016-07-16 00:00:00,52,2,0,0,1,0,0,0,1
257,2016-07-17 00:00:00,48,0,0,0,2,0,0,0,0
258,2016-07-18 00:00:00,43,0,0,0,2,0,0,0,1
